id,정정명칭,naver_place_url,lat,lng,scene_description,source_url,비고
st_15313,"상암 구름산추어탕(마포구 성암로13길38) 앞 골목",https://map.naver.com/p/entry/place/1482646633,,,,"https://blog.naver.com/tazan00009/221844895506;https://blog.naver.com/naengba/223572263953","기존 장면설명(장근원·최승권 관련)과 달리 실제로는 2화 조이서·장근수 오토바이 낙상 장면(상암동 DMC 인근 골목) 촬영지로 확인됨. 촬영 당시 배경 상가 간판은 화면상 모자이크 처리됨. 주소(성암로13길36) 바로 옆 성암로13길38에 상암구름산추어탕이 현재 영업 중이라 앵커로 사용."
st_15314,만만코코로 홍대점,https://map.naver.com/p/entry/place/1170338169,,,,"https://blog.naver.com/hs21589/222394648110;https://blog.naver.com/kbn7590/223895135678",현재도 24시간 영업 중으로 확인됨(2025년 방문 후기 기준).
st_15315,코다차야 홍대점(폐업 확인),,,,,"https://blog.naver.com/hs21589/222395074059","2020년 촬영 당시 실제 상호(외부 간판 '코코로', 내부 '코다차야'). 카카오맵 기준 현재 코다차야 프랜차이즈 지점 목록에 홍대점이 없어 폐업으로 판단됨. 동일 주소(와우산로48)에는 현재 동천홍 홍대점(중식당)이 영업 중이나 해당 업체의 네이버 장소ID를 확인하지 못해 naver_place_url은 비워둠."
st_15318,녹사평 육교,https://map.naver.com/p/entry/place/10986705,,,,"https://blog.naver.com/369asdfg/224138343873;https://blog.naver.com/msk811/223459108178;https://blog.naver.com/ganeban/223565811922",장소명 자체는 정정 불요(실존 지명). 육교 구조물은 독립된 네이버 장소ID가 없어 다수 답사 블로거들이 공통으로 체크인하는 바로 앞 '녹사평(용산구청)역 6호선' 장소ID로 대체함.
st_15319,,,,,,,"써스티몽크 이태원점 자체가 폐업 확인됨(카카오맵 전국 검색 결과 청담·마곡·서래마을·송도점만 존재, 이태원점 없음). '맞은편'에 해당하는 정확한 현재 상호를 특정할 근거를 찾지 못해 정정명칭·URL 모두 비움."
st_15321,"서울밤(구 단밤포차, 한때 '탄밤' 임시간판)",https://map.naver.com/p/entry/place/1720336818,,,,"https://blog.naver.com/kmd_lancye/223706917160;https://blog.naver.com/369asdfg/224138343873;https://blog.naver.com/hshyun0602/221858540952","상표권 문제로 '단밤'을 그대로 쓰지 못하고 탄밤→서울밤 순으로 개명. 블로거들이 ''지금은 서울밤으로 검색하면 찾을 수 있다''고 명시함."
st_15322,크리스피포크타운(구 겸손한술집),https://map.naver.com/p/entry/place/1761107804,,,,"https://blog.naver.com/haechiseoul/221899431731;https://blog.naver.com/by_joo2/224160530278;https://blog.naver.com/msk811/223459108178","기존 데이터의 주소(녹사평대로40나길1)는 8행 노리테이블과 완전히 동일해 데이터 오류로 판단, 무시함. place_name '디펜스거리'가 가리키는 5화 엔딩 '디펜스' 명대사 촬영지는 haechiseoul 2020년 답사 기준 녹사평대로40길47의 '겸손한술집'이며, 현재 같은 주소에 크리스피포크타운이 영업 중."
st_15323,"노리테이블(2020년 실제 상호, 현재는 후렌드치킨)",https://map.naver.com/p/entry/place/13202606,,,,"https://blog.naver.com/haechiseoul/221899431731;https://blog.naver.com/12399gjsmf/224136543478","haechiseoul 2020년 답사글에서 노리테이블 주소를 ''서울특별시 용산구 녹사평대로40나길 1''로 명시(4화 조이서 엎어치기 장면), 원본 데이터 주소·좌표와 정확히 일치. 동일 주소에 현재는 후렌드치킨이 영업 중이라 그 장소ID로 링크함. (참고: msk811 블로그는 같은 장면을 인근 '플라스틱바나나'(녹사평대로40길41)로 소개하는데, 두 상호가 도보 10여 m 내 인접해 있어 혼선의 소지가 있음)"
st_15324,이태원모먼트(Itaewon Moment),https://map.naver.com/p/entry/place/1547881298,,,,"https://blog.naver.com/msk811/223459108178","원본 주소(녹사평대로46길31)는 9화 '조조의 공간' 촬영지에 해당하며 현재 카페·베이커리·갤러리 '이태원모먼트'로 운영 중. 같은 9화 장면에 함께 언급되는 '마루쿠식당'은 주소가 다른 녹사평대로46길27(현재 두찜 용산이태원점)이므로 place_name의 '마루쿠식당/조이의공간' 중 실제로는 조이의공간(=이태원모먼트) 쪽 주소만 일치함."
st_15325,뉴일무이,https://map.naver.com/p/entry/place/37452669,,,,"https://blog.naver.com/hshyun0602/221858540952;https://blog.naver.com/msk811/223459108178","두 답사 블로그가 정확히 같은 도로명주소(두텁바위로40길 28-16)로 뉴일무이(웨딩사진 스튜디오)를 지목함. 단, hs21589 블로그(222391849674)는 ''뉴일무이는 촬영지가 아니고 바로 옆 골목 계단이 진짜''라는 이견을 제시해 완전히 배제하기는 어려움."
